"((13.284329034170835, 13.281760046759999, 0.002568987410835888), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61503, 1.01056], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.284329034170835, 13.281760046759999, 0.002568987410835888), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61503, 1.01056], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.28951040550569, 13.281394366434704, 0.008116039070985792), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61506, 1.01054], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.28951040550569, 13.281394366434704, 0.008116039070985792), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61506, 1.01054], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.349506188995532, 13.356349973337085, -0.006843784341553416), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61506, 1.01054], [1.54965, 1.00561], [1.60954, 1.00649]])"
"((13.284329034170835, 13.281760046759999, 0.002568987410835888), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61503, 1.01056], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.284329034170835, 13.281760046759999, 0.002568987410835888), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61503, 1.01056], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.28951040550569, 13.281394366434704, 0.008116039070985792), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61506, 1.01054], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.28951040550569, 13.281394366434704, 0.008116039070985792), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61506, 1.01054], [1.53721, 1.00588], [1.60414, 1.00668]])"
"((13.349506188995532, 13.356349973337085, -0.006843784341553416), [[1.60954, 1.00649], [1.5204, 1.00668], [1.61506, 1.01054], [1.54965, 1.00561], [1.60954, 1.00649]])"
"((13.490207745398395, 13.496125604583577, -0.00591785918518184), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((13.28885179435237, 13.284579038121768, 0.004272756230601971), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.56949, 1.00633], [1.61727, 1.00636]])"
"((13.029036930376794, 13.034600692347182, -0.0055637619703876595), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.56575, 1.00649], [1.61727, 1.00636]])"
"((13.490207745398395, 13.496125604583577, -0.00591785918518184), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((13.029036930376794, 13.034600692347182, -0.0055637619703876595), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.56575, 1.00649], [1.61727, 1.00636]])"
"((13.49530895887908, 13.49576666459448, -0.0004577057153998254), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((13.034192560827465, 13.034236326378574, -4.3765551108521095e-05), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.56575, 1.00649], [1.61727, 1.00636]])"
"((13.49530895887908, 13.49576666459448, -0.0004577057153998254), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((13.034192560827465, 13.034236326378574, -4.3765551108521095e-05), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.56575, 1.00649], [1.61727, 1.00636]])"
"((13.490207745398395, 13.496125604583577, -0.00591785918518184), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58619, 1.00606]])"
