"((29.52984512387809, 32.45094847925889, -2.921103355380801), [[1.61503, 1.00604], [1.50592, 1.00552], [1.61506, 1.01054], [1.58619, 1.00606], [1.60008, 1.00622]])"
"((29.526002656894967, 32.45371733422301, -2.9277146773280407), [[1.61503, 1.00604], [1.50592, 1.00552], [1.61506, 1.01054], [1.58618, 1.00607], [1.60008, 1.00622]])"
"((28.67480079324553, 31.498818160644063, -2.8240173673985325), [[1.61503, 1.00604], [1.56949, 1.00633], [1.57723, 1.00902], [1.59875, 1.00992], [1.61727, 1.00636]])"
"((27.543161711264926, 29.820836670718506, -2.277674959453581), [[1.61503, 1.00604], [1.53721, 1.00588], [1.61503, 1.01056], [1.52646, 1.0045], [1.60008, 1.00622]])"
"((25.939503541725944, 27.811289775590524, -1.8717862338645794), [[1.61503, 1.00604], [1.53721, 1.00588], [1.61503, 1.01056], [1.49514, 1.00407], [1.58619, 1.00606]])"
"((25.944966426597617, 27.80756505032683, -1.8625986237292125), [[1.61503, 1.00604], [1.53721, 1.00588], [1.61503, 1.01056], [1.49514, 1.00407], [1.58618, 1.00607]])"
"((27.567825354712664, 29.81879063770478, -2.250965282992116), [[1.61503, 1.00604], [1.53721, 1.00588], [1.61506, 1.01054], [1.52646, 1.0045], [1.60008, 1.00622]])"
"((25.960498875563513, 27.809584809287156, -1.849085933723643), [[1.61503, 1.00604], [1.53721, 1.00588], [1.61506, 1.01054], [1.49514, 1.00407], [1.58619, 1.00606]])"
"((25.965970605437867, 27.805860539993866, -1.8398899345559983), [[1.61503, 1.00604], [1.53721, 1.00588], [1.61506, 1.01054], [1.49514, 1.00407], [1.58618, 1.00607]])"
"((27.224499503931238, 29.340918174741223, -2.116418670809985), [[1.61503, 1.00604], [1.56575, 1.00649], [1.59875, 1.00992], [1.51982, 1.00578], [1.60008, 1.00622]])"
"((30.184293143063194, 34.34436134021502, -4.16006819715183), [[1.61503, 1.00604], [1.64792, 1.00881], [1.61503, 1.01056], [1.50854, 1.00561], [1.66578, 1.00854]])"
"((26.35771977760151, 28.23958090175323, -1.881861124151719), [[1.61503, 1.00604], [1.5443, 1.00661], [1.59875, 1.00992], [1.51982, 1.00578], [1.58399, 1.00622]])"
"((26.927463843970713, 28.914334285630616, -1.986870441659903), [[1.61503, 1.00604], [1.5443, 1.00661], [1.59875, 1.00992], [1.51982, 1.00578], [1.58299, 1.00622]])"
"((26.73305301767994, 28.853230514193793, -2.120177496513854), [[1.61503, 1.00604], [1.58619, 1.00606], [1.61503, 1.01056], [1.4848, 1.00388], [1.61727, 1.00636]])"
"((30.078332976973645, 33.249795045096896, -3.171462068123251), [[1.61503, 1.00604], [1.56101, 1.00594], [1.57723, 1.00902], [1.61503, 1.01056], [1.61727, 1.00636]])"
